Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
TM35_000951030-t36_1-p1	TM35_000951030-t36_1-p1	2	2	2	TM35_000951030-t36_1-p1 | transcript=TM35_000951030-t36_1 | gene=TM35_000951030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:6284-7210(-) | protein_l	1	2	2	2	13.3	13.3	13.3	31.575	308	308	0	25.508	782360	2				1198	1726;2465	True;True	1746;2516	2140;3086	4118;5878	4118;5878		
TM35_000951080-t36_1-p1	TM35_000951080-t36_1-p1	2	2	2	TM35_000951080-t36_1-p1 | transcript=TM35_000951080-t36_1 | gene=TM35_000951080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:15146-15937(-) | protein	1	2	2	2	14.8	14.8	14.8	26.107	263	263	0	11.977	2586900	4				1199	3244;3529	True;True	3307;3595	4069;4070;4429	7704;7705;7706;8420	7704;8420		
TM35_000951090-t36_1-p1	TM35_000951090-t36_1-p1	3	3	3	TM35_000951090-t36_1-p1 | transcript=TM35_000951090-t36_1 | gene=TM35_000951090 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:16774-17685(-) | protein	1	3	3	3	25.7	25.7	25.7	31.441	303	303	0	28.678	6030800	12				1200	2531;3392;3463	True;True;True	2583;3457;3528	3163;4259;4343	6007;6008;6009;6010;6011;6012;6013;6014;8062;8063;8261;8262	6011;8063;8261		
TM35_000951100-t36_1-p1	TM35_000951100-t36_1-p1	6	4	3	TM35_000951100-t36_1-p1 | transcript=TM35_000951100-t36_1 | gene=TM35_000951100 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:18512-19435(-) | protein	1	6	4	3	35.2	25.1	21.2	31.594	307	307	0	27.285	22740000	9				1201	1105;1136;1457;1458;3029;3189	True;True;False;False;True;True	1119;1151;1476;1477;3089;3252	1384;1420;1820;1821;1822;3783;4000;4001	2687;2688;2689;2690;2691;2767;3483;3484;3485;3486;3487;3488;3489;3490;3491;3492;3493;3494;3495;3496;3497;3498;7164;7575;7576	2688;2767;3491;3496;7164;7575		
TM35_000951110-t36_1-p1	TM35_000951110-t36_1-p1	3	3	3	TM35_000951110-t36_1-p1 | transcript=TM35_000951110-t36_1 | gene=TM35_000951110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:22203-23003(-) | protein	1	3	3	3	26.2	26.2	26.2	26.314	267	267	0	28.064	8904700	6				1202	705;1565;2809	True;True;True	712;1585;2865	872;1956;3514	1604;1605;3750;3751;3752;6641	1605;3750;6641		
TM35_000951120-t36_1-p1	TM35_000951120-t36_1-p1	4	4	4	TM35_000951120-t36_1-p1 | transcript=TM35_000951120-t36_1 | gene=TM35_000951120 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:25679-26608(-) | protein	1	4	4	4	28.5	28.5	28.5	32.374	309	309	0	31.106	7236600	12				1203	604;2111;2879;3521	True;True;True;True	609;2138;2935;3587	744;2634;3598;4421	1358;1359;5091;5092;5093;5094;6797;6798;8402;8403;8404;8405	1358;5091;6797;8404		
TM35_000951130-t36_1-p1	TM35_000951130-t36_1-p1	4	2	2	TM35_000951130-t36_1-p1 | transcript=TM35_000951130-t36_1 | gene=TM35_000951130 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000095:27301-28272(-) | protein	1	4	2	2	20.1	16.1	16.1	32.985	323	323	0	35.111	9590100	5				1204	327;1235;3917;3949	True;False;False;True	331;1252;3988;4020	396;1548;4906;4944;4945	717;718;2992;9362;9363;9418;9419;9420	718;2992;9363;9420		
TM35_000961010-t36_1-p1	TM35_000961010-t36_1-p1	1	1	1	TM35_000961010-t36_1-p1 | transcript=TM35_000961010-t36_1 | gene=TM35_000961010 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000096:5042-5971(+) | protein_l	1	1	1	1	3.9	3.9	3.9	30.984	309	309	0	7.5568	4704900	1				1205	3376	True	3441	4240	8021	8021		
TM35_000961020-t36_1-p1	TM35_000961020-t36_1-p1	1	1	1	TM35_000961020-t36_1-p1 | transcript=TM35_000961020-t36_1 | gene=TM35_000961020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000096:6563-7546(+) | protein_l	1	1	1	1	4	4	4	33.8	327	327	0	11.296	775490	3				1206	2777	True	2833	3476;3477	6575;6576;6577	6577		
TM35_000961060-t36_1-p1	TM35_000961060-t36_1-p1	2	2	2	TM35_000961060-t36_1-p1 | transcript=TM35_000961060-t36_1 | gene=TM35_000961060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000096:18472-19332(+) | protein	1	2	2	2	12.9	12.9	12.9	28.412	286	286	0	13.995	682250	3				1207	50;1586	True;True	51;1606	68;1979	133;3796;3797	133;3796		
TM35_000961130-t36_1-p1	TM35_000961130-t36_1-p1	1	1	1	TM35_000961130-t36_1-p1 | transcript=TM35_000961130-t36_1 | gene=TM35_000961130 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000096:29950-30666(+) | protein	1	1	1	1	6.7	6.7	6.7	23.027	239	239	0	8.8971	362720	1				1208	744	True	752	917	1688	1688		
TM35_000971010-t36_1-p1	TM35_000971010-t36_1-p1	2	2	1	TM35_000971010-t36_1-p1 | transcript=TM35_000971010-t36_1 | gene=TM35_000971010 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000097:9461-10849(-) | protein_	1	2	2	1	4.3	4.3	2.2	52.431	462	462	0	11.614	902870	3				1209	1808;4018	True;True	1832;4090	2256;5027	4358;4359;9585	4359;9585		
TM35_000981030-t36_1-p1	TM35_000981030-t36_1-p1	7	5	5	TM35_000981030-t36_1-p1 | transcript=TM35_000981030-t36_1 | gene=TM35_000981030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000098:5253-6152(+) | protein_l	1	7	5	5	35.8	31.4	31.4	30.503	299	299	0	51.09	28671000	18				1210	1235;1442;2012;2153;3753;3838;3917	False;True;True;True;True;True;False	1252;1461;2039;2180;3824;3909;3988	1548;1803;1804;2508;2509;2679;4718;4814;4906	2992;3454;3455;3456;4841;4842;4843;4844;5160;5161;5162;5163;9006;9007;9177;9178;9179;9180;9181;9362;9363	2992;3454;4843;5162;9006;9179;9363		
TM35_000981040-t36_1-p1	TM35_000981040-t36_1-p1	1	1	1	TM35_000981040-t36_1-p1 | transcript=TM35_000981040-t36_1 | gene=TM35_000981040 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000098:6980-7906(+) | protein_l	1	1	1	1	11	11	11	30.277	308	308	0	9.4932	562530	2				1211	138	True	141	177	334;335	335		
TM35_000981060-t36_1-p1	TM35_000981060-t36_1-p1	2	2	2	TM35_000981060-t36_1-p1 | transcript=TM35_000981060-t36_1 | gene=TM35_000981060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000098:10581-11945(+) | protein	1	2	2	2	6.6	6.6	6.6	47.536	454	454	0	15.069	5416600	4				1212	1950;2211	True;True	1976;2241	2428;2429;2744	4693;4694;4695;5267	4695;5267		
TM35_000981080-t36_1-p1	TM35_000981080-t36_1-p1	1	1	1	TM35_000981080-t36_1-p1 | transcript=TM35_000981080-t36_1 | gene=TM35_000981080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000098:14547-15347(+) | protein	1	1	1	1	13.5	13.5	13.5	26.86	266	266	0.0024	6.0505	483270	1				1213	2542	True	2595	3176	6030	6030		
TM35_000981090-t36_1-p1	TM35_000981090-t36_1-p1	4	4	4	TM35_000981090-t36_1-p1 | transcript=TM35_000981090-t36_1 | gene=TM35_000981090 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000098:16182-17066(+) | protein	1	4	4	4	25.2	25.2	25.2	29.517	294	294	0	33.743	5323100	11				1214	187;484;2912;3415	True;True;True;True	190;489;2968;3480	233;583;3638;3639;4284	431;432;1055;1056;1057;6870;6871;6872;8125;8126;8127	431;1057;6871;8125		
TM35_000981100-t36_1-p1	TM35_000981100-t36_1-p1	1	1	1	TM35_000981100-t36_1-p1 | transcript=TM35_000981100-t36_1 | gene=TM35_000981100 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000098:17738-18796(+) | protein	1	1	1	1	4.3	4.3	4.3	37.972	352	352	0	6.6951	622730	2				1215	85	True	86	109	195;196	196		
TM35_000981110-t36_1-p1	TM35_000981110-t36_1-p1	2	2	2	TM35_000981110-t36_1-p1 | transcript=TM35_000981110-t36_1 | gene=TM35_000981110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000098:20675-21604(+) | protein	1	2	2	2	13.3	13.3	13.3	32.415	309	309	0	20.245	1193300	4				1216	706;1152	True;True	713;1167	873;1437	1606;1607;2785;2786	1607;2785		
TM35_000981120-t36_1-p1	TM35_000981120-t36_1-p1	5	5	5	TM35_000981120-t36_1-p1 | transcript=TM35_000981120-t36_1 | gene=TM35_000981120 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000098:22199-23143(+) | protein	1	5	5	5	29.6	29.6	29.6	32.251	314	314	0	44.251	12701000	20				1217	550;961;1382;1870;4011	True;True;True;True;True	555;973;1401;1894;4083	657;658;1200;1201;1725;1726;2330;5018	1218;1219;1220;1221;1222;2321;2322;2323;2324;2325;3276;3277;3278;3279;3280;3281;3282;4497;9563;9564	1222;2321;3277;4497;9564		
TM35_000981140-t36_1-p1	TM35_000981140-t36_1-p1	3	1	1	TM35_000981140-t36_1-p1 | transcript=TM35_000981140-t36_1 | gene=TM35_000981140 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000098:30621-30911(+) | protein	1	3	1	1	44.3	25.8	25.8	9.7489	97	97	0.0039714	5.9837	1568400	1				1218	2843;2844;3506	False;False;True	2899;2900;3572	3556;3557;4403	6720;6721;6722;6723;6724;8371	6721;6723;8371		
TM35_001001040-t36_1-p1	TM35_001001040-t36_1-p1	5	5	5	TM35_001001040-t36_1-p1 | transcript=TM35_001001040-t36_1 | gene=TM35_001001040 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000100:12767-13669(+) | protein	1	5	5	5	31.7	31.7	31.7	30.913	300	300	0	50.293	104230000	19				1219	1626;1868;3143;3159;3603	True;True;True;True;True	1646;1892;3205;3222;3670	2028;2327;2328;3942;3961;3962;4529	3897;3898;3899;4491;4492;4493;4494;4495;7468;7502;7503;7504;7505;7506;8659;8660;8661;8662;8663	3899;4493;7468;7506;8663		
TM35_001001050-t36_1-p1;TM35_000561030-t36_1-p1	TM35_001001050-t36_1-p1	3;1	3;1	3;1	TM35_001001050-t36_1-p1 | transcript=TM35_001001050-t36_1 | gene=TM35_001001050 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000100:14245-15342(+) | protein	2	3	3	3	21.6	21.6	21.6	38.315	365	365;364	0	22.926	2444900	12				1220	2584;3184;3934	True;True;True	2638;3247;4005	3231;3991;3992;3993;3994;3995;4925	6140;6141;6142;7563;7564;7565;7566;7567;9388;9389;9390;9391	6140;7563;9388		
TM35_001001060-t36_1-p1;TM35_001221050-t36_1-p1	TM35_001001060-t36_1-p1	5;1	5;1	5;1	TM35_001001060-t36_1-p1 | transcript=TM35_001001060-t36_1 | gene=TM35_001001060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000100:16128-16976(+) | protein	2	5	5	5	26.5	26.5	26.5	30.123	283	283;351	0	48.201	10589000	12				1221	607;649;2018;2679;3390	True;True;True;True;True	612;655;2045;2735;3455	748;801;802;2516;3353;4257	1364;1456;1457;1458;1459;4859;6347;6348;8057;8058;8059;8060	1364;1459;4859;6347;8060		
TM35_001001090-t36_1-p1	TM35_001001090-t36_1-p1	4	4	4	TM35_001001090-t36_1-p1 | transcript=TM35_001001090-t36_1 | gene=TM35_001001090 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000100:23489-24439(+) | protein	1	4	4	4	21.8	21.8	21.8	32.785	317	317	0	34.165	8741000	9				1222	66;579;1743;3809	True;True;True;True	67;584;1764;3880	85;713;2162;2163;4779	161;1306;1307;1308;4154;4155;9112;9113;9114	161;1306;4154;9113		
TM35_001011030-t36_1-p1	TM35_001011030-t36_1-p1	1	1	1	TM35_001011030-t36_1-p1 | transcript=TM35_001011030-t36_1 | gene=TM35_001011030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=surface protease GP63 | transcript_product=surface protease GP63 | location=NBCO01000101:14409-16271(-) | prote	1	1	1	1	1.1	1.1	1.1	68.861	620	620	0.0099161	5.6458	526990	1				1223	2192	True	2221	2724	5242	5242		
TM35_001021010-t36_1-p1	TM35_001021010-t36_1-p1	3	2	2	TM35_001021010-t36_1-p1 | transcript=TM35_001021010-t36_1 | gene=TM35_001021010 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000102:4069-5253(+) | protein_l	1	3	2	2	15	12.9	12.9	40.205	394	394	0	17.565	3331000	8				1224	349;765;1387	False;True;True	353;773;1406	422;946;1732	760;1744;1745;1746;1747;1748;1749;1750;3295	760;1745;3295		
TM35_001021030-t36_1-p1	TM35_001021030-t36_1-p1	3	3	3	TM35_001021030-t36_1-p1 | transcript=TM35_001021030-t36_1 | gene=TM35_001021030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000102:7574-8494(+) | protein_l	1	3	3	3	16.7	16.7	16.7	30.809	306	306	0	36.808	11147000	9				1225	339;556;2525	True;True;True	343;561;2577	408;409;664;665;3156	735;736;737;1231;1232;1233;1234;5995;5996	735;1234;5996		
TM35_001021070-t36_1-p1	TM35_001021070-t36_1-p1	2	2	2	TM35_001021070-t36_1-p1 | transcript=TM35_001021070-t36_1 | gene=TM35_001021070 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000102:15226-15723(+) | protein	1	2	2	2	22.9	22.9	22.9	16.843	166	166	0	22.553	2477300	2				1226	641;3023	True;True	647;3083	791;3777	1440;7154	1440;7154		
TM35_001021110-t36_1-p1	TM35_001021110-t36_1-p1	4	3	3	TM35_001021110-t36_1-p1 | transcript=TM35_001021110-t36_1 | gene=TM35_001021110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000102:24705-25727(+) | protein	1	4	3	3	14.7	12.6	12.6	35.892	341	341	0	27.567	3212700	5				1227	1465;1767;2457;3700	True;True;False;True	1484;1790;2508;3771	1832;2205;3077;4654	3517;3518;3519;4263;5865;8896	3518;4263;5865;8896		
TM35_001031010-t36_1-p1	TM35_001031010-t36_1-p1	4	4	4	TM35_001031010-t36_1-p1 | transcript=TM35_001031010-t36_1 | gene=TM35_001031010 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000103:13402-14250(-) | protein	1	4	4	4	22.7	22.7	22.7	29.115	282	282	0	44.46	16007000	8				1228	918;1365;1592;1930	True;True;True;True	929;1384;1612;1955	1148;1701;1986;2401	2195;2196;2197;3228;3229;3806;4642;4643	2195;3228;3806;4643		
TM35_001031020-t36_1-p1	TM35_001031020-t36_1-p1	1	1	1	TM35_001031020-t36_1-p1 | transcript=TM35_001031020-t36_1 | gene=TM35_001031020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000103:15131-15832(-) | protein	1	1	1	1	7.3	7.3	7.3	23.085	233	233	0	12.982	1571700	1				1229	1121	True	1135	1404	2736	2736		
TM35_001031040-t36_1-p1	TM35_001031040-t36_1-p1	2	2	2	TM35_001031040-t36_1-p1 | transcript=TM35_001031040-t36_1 | gene=TM35_001031040 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000103:17290-18261(-) | protein	1	2	2	2	13	13	13	33.334	323	323	0	45.283	895110	4				1230	414;729	True;True	419;737	502;900	908;909;1660;1661	908;1661		
TM35_001031050-t36_1-p1	TM35_001031050-t36_1-p1	3	1	0	TM35_001031050-t36_1-p1 | transcript=TM35_001031050-t36_1 | gene=TM35_001031050 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000103:19051-20061(-) | protein	1	3	1	0	17.3	3.6	0	35.512	336	336	0	6.7837	600590	2				1231	2878;3629;3978	False;True;False	2934;3698;4049	3597;4565;4978	6795;6796;8739;8740;9482;9483;9484	6796;8739;9484		
TM35_001031060-t36_1-p1	TM35_001031060-t36_1-p1	2	2	2	TM35_001031060-t36_1-p1 | transcript=TM35_001031060-t36_1 | gene=TM35_001031060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000103:20617-21105(-) | protein	1	2	2	2	17.9	17.9	17.9	16.988	162	162	0	29.258	13667000	5				1232	1114;2066	True;True	1128;2093	1394;1395;2578	2714;2715;4977;4978;4979	2715;4978		
TM35_001031070-t36_1-p1	TM35_001031070-t36_1-p1	5	5	5	TM35_001031070-t36_1-p1 | transcript=TM35_001031070-t36_1 | gene=TM35_001031070 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000103:22055-23068(-) | protein	1	5	5	5	32.6	32.6	32.6	33.952	337	337	0	51.939	8576400	9				1233	940;1073;1975;2707;3031	True;True;True;True;True	951;1087;2002;2763;3091	1177;1346;2461;3385;3785	2267;2608;4752;4753;4754;4755;6395;7167;7168	2267;2608;4754;6395;7168		
TM35_001031080-t36_1-p1	TM35_001031080-t36_1-p1	4	4	4	TM35_001031080-t36_1-p1 | transcript=TM35_001031080-t36_1 | gene=TM35_001031080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000103:23874-24812(-) | protein	1	4	4	4	15.4	15.4	15.4	31.491	312	312	0	45.724	5396200	16				1234	738;890;1570;1571	True;True;True;True	746;900;1590;1591	909;1115;1962;1963	1673;2132;2133;2134;2135;3759;3760;3761;3762;3763;3764;3765;3766;3767;3768;3769	1673;2132;3760;3769		
TM35_001041000-t36_1-p1	TM35_001041000-t36_1-p1	4	1	1	TM35_001041000-t36_1-p1 | transcript=TM35_001041000-t36_1 | gene=TM35_001041000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000104:1-606(+) | protein_lengt	1	4	1	1	18.4	7.5	7.5	20.002	201	201	0	14.875	5276900	1				1235	317;318;773;1564	False;False;True;False	321;322;781;1584	386;387;954;1955	700;701;702;1761;3749	700;702;1761;3749		
TM35_001041020-t36_1-p1	TM35_001041020-t36_1-p1	5	5	3	TM35_001041020-t36_1-p1 | transcript=TM35_001041020-t36_1 | gene=TM35_001041020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000104:7057-7902(+) | protein_l	1	5	5	3	39.7	39.7	27.3	28.364	282	282	0	64.181	11041000	11				1236	555;1075;1646;2807;2980	True;True;True;True;True	560;1089;1666;2863;3038	663;1348;2052;3512;3721;3722	1229;1230;2612;3949;6636;6637;6638;6639;7056;7057;7058	1229;2612;3949;6639;7056		
TM35_001041060-t36_1-p1	TM35_001041060-t36_1-p1	2	2	2	TM35_001041060-t36_1-p1 | transcript=TM35_001041060-t36_1 | gene=TM35_001041060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000104:16782-17813(+) | protein	1	2	2	2	12	12	12	33.839	343	343	0	20.608	823940	2				1237	183;1429	True;True	186;1448	228;1784	422;3413	422;3413		
TM35_001041080-t36_1-p1	TM35_001041080-t36_1-p1	6	6	6	TM35_001041080-t36_1-p1 | transcript=TM35_001041080-t36_1 | gene=TM35_001041080 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000104:23957-24895(+) | protein	1	6	6	6	27.6	27.6	27.6	32.634	312	312	0	56.132	21249000	13				1238	1234;1567;1601;1665;2875;3832	True;True;True;True;True;True	1251;1587;1621;1685;2931;3903	1546;1547;1958;1959;1998;2073;3594;4807;4808	2989;2990;2991;3754;3755;3827;3995;3996;6792;9166;9167;9168;9169	2990;3754;3827;3996;6792;9166		
TM35_001051020-t36_1-p1	TM35_001051020-t36_1-p1	1	1	1	TM35_001051020-t36_1-p1 | transcript=TM35_001051020-t36_1 | gene=TM35_001051020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000105:3769-4755(+) | protein_l	1	1	1	1	4.3	4.3	4.3	34.766	328	328	0	7.0165	626030	1				1239	3584	True	3651	4505	8609	8609		
